month,portfolio_value,target,ppk,ikze,ike,oki,standard,dividend_tax,rebalancing_tax
2008-04,10123.028173486893,2850000.0,0.0,0.0,0.0,0.0,10123.028173486893,1.805,0.0
2008-05,19436.484727163523,2850000.0,0.0,0.0,0.0,0.0,19436.484727163523,3.7530910581291206,0.0
2008-06,26437.67787845322,2850000.0,0.0,0.0,0.0,0.0,26437.67787845322,5.513154327906314,0.0
2008-07,34098.8221623186,2850000.0,0.0,0.0,0.0,0.0,34098.8221623186,6.729752422375501,0.0
2008-08,47196.989269167636,2850000.0,0.0,0.0,0.0,0.0,47196.989269167636,8.107756270377601,0.0
2008-09,53368.984159957494,2850000.0,0.0,0.0,0.0,0.0,53368.984159957494,10.623680542102724,0.0
2008-10,63554.60362259555,2850000.0,0.0,0.0,0.0,0.0,63554.60362259555,11.54014762918761,0.0
2008-11,69936.8506813202,2850000.0,0.0,0.0,0.0,0.0,69936.8506813202,13.106802516830749,0.0
2008-12,83950.30814912326,2850000.0,0.0,0.0,0.0,0.0,83950.30814912326,14.06103413858309,0.0
2009-01,97959.80628132151,2991576.011245916,0.0,0.0,0.0,0.0,97959.80628132151,17.84522335545583,0.0
2009-02,105191.37261327042,2991576.011245916,0.0,0.0,0.0,0.0,105191.37261327042,20.340674433210314,0.0
2009-03,119272.44162813594,2991576.011245916,0.0,0.0,0.0,0.0,119272.44162813594,21.42278748066811,0.0
2009-04,132899.7787361166,2991576.011245916,0.0,0.0,0.0,0.0,132899.7787361166,24.42763366377017,0.0
2009-05,150370.96308104816,2991576.011245916,0.0,0.0,0.0,0.0,150370.96308104816,27.44397416231265,0.0
2009-06,157858.69187457836,2991576.011245916,0.0,0.0,0.0,0.0,157858.69187457836,31.239360441699553,0.0
2009-07,169163.0249985909,2991576.011245916,0.0,0.0,0.0,0.0,169163.0249985909,32.56959323134226,0.0
2009-08,178596.1877219951,2991576.011245916,0.0,0.0,0.0,0.0,178596.1877219951,35.043926064286396,0.0
2009-09,197054.39292257276,2991576.011245916,0.0,0.0,0.0,0.0,197054.39292257276,36.92736041114467,0.0
2009-10,200634.33259723795,2991576.011245916,0.0,0.0,0.0,0.0,200634.33259723795,40.831794844011576,0.0
