month,portfolio_value,target,ppk,ikze,ike,oki,standard,dividend_tax,rebalancing_tax
2008-04,3412.1330938717765,3120000.0,988.9490454165543,2423.184048455222,0.0,0.0,0.0,0.0,0.0
2008-05,6200.191678310582,3120000.0,1442.2746984764071,4757.9169798341745,0.0,0.0,0.0,0.0,0.0
2008-06,8643.270226168817,3120000.0,1822.5987230744513,6820.671503094366,0.0,0.0,0.0,0.0,0.0
2008-07,11208.172833148677,3120000.0,2231.6984634138116,7234.953881843596,1741.520487891271,0.0,0.0,0.0,0.0
2008-08,14517.24287544553,3120000.0,2785.187920036912,7493.659967882559,4238.3949875260605,0.0,0.0,0.0,0.0
2008-09,16814.707683738965,3120000.0,3147.2953416107566,7287.426636512402,6379.985705615807,0.0,0.0,0.0,0.0
2008-10,19539.038231846076,3120000.0,3589.4256711884805,7264.60563064973,8685.006930007867,0.0,0.0,0.0,0.0
2008-11,21884.865903834332,3120000.0,3963.497093829426,7129.588910768335,10791.779899236573,0.0,0.0,0.0,0.0
2008-12,25389.20961731616,3120000.0,4545.003415761882,7322.525299096706,13521.68090245757,0.0,0.0,0.0,0.0
2009-01,28793.23037351686,3274988.4754692134,5105.983682501372,9941.099093881061,13746.14759713443,0.0,0.0,0.0,0.0
2009-02,31307.04712870802,3274988.4754692134,5509.654666051196,12233.612584005929,13563.779878650897,0.0,0.0,0.0,0.0
2009-03,35534.20383410969,3274988.4754692134,6618.832319555908,15033.76654274861,13881.604971805176,0.0,0.0,0.0,0.0
2009-04,40225.0792576034,3274988.4754692134,7249.283653531263,15958.227423726254,17017.56818034588,0.0,0.0,0.0,0.0
2009-05,44521.184509110986,3274988.4754692134,7971.0457422522995,16463.206089858155,20086.932677000535,0.0,0.0,0.0,0.0
2009-06,47213.98592608012,3274988.4754692134,8405.607699778562,16378.442245813938,22429.935980487615,0.0,0.0,0.0,0.0
2009-07,50658.731749133454,3274988.4754692134,8973.800940977024,16546.288412930277,25138.642395226154,0.0,0.0,0.0,0.0
2009-08,53728.8852313772,3274988.4754692134,9475.407681662207,16587.936536315792,27665.5410133992,0.0,0.0,0.0,0.0
2009-09,58113.685059872914,3274988.4754692134,10208.302608191254,17018.478977246596,30886.903474435065,0.0,0.0,0.0,0.0
2009-10,60262.84715751682,3274988.4754692134,10548.152091438937,16793.87083707813,32920.82422899976,0.0,0.0,0.0,0.0
