month,portfolio_value,target,ppk,ikze,ike,oki,standard,dividend_tax,rebalancing_tax
2008-04,3508.706437328616,3120000.0,1016.9391950375808,2491.7672422910355,0.0,0.0,0.0,0.0,0.0
2008-05,6251.695659813484,3120000.0,1459.7553686852484,4791.940291128236,0.0,0.0,0.0,0.0,0.0
2008-06,8285.308799594228,3120000.0,1753.3087665028584,6532.000033091369,0.0,0.0,0.0,0.0,0.0
2008-07,10544.216703915625,3120000.0,2101.40829475191,6750.865742198379,1691.9426669653349,0.0,0.0,0.0,0.0
2008-08,14272.988039138063,3120000.0,2735.2626183197985,7218.613365489664,4319.1120553286,0.0,0.0,0.0,0.0
2008-09,15959.958620821306,3120000.0,2983.3087739334023,6756.162610760417,6220.4872361274865,0.0,0.0,0.0,0.0
2008-10,18481.950786142675,3120000.0,3388.337061881729,6660.214907893261,8433.398816367686,0.0,0.0,0.0,0.0
2008-11,20232.652956870377,3120000.0,3654.9892504139902,6341.081437465196,10236.582268991191,0.0,0.0,0.0,0.0
2008-12,24297.45498165899,3120000.0,4336.274721116737,6682.1841459749085,13278.996114567344,0.0,0.0,0.0,0.0
2009-01,27997.483266798678,3274988.4754692134,4949.321272723724,9395.54579252315,13652.616201551804,0.0,0.0,0.0,0.0
2009-02,29973.22035490103,3274988.4754692134,5258.815803452665,11484.941135039608,13229.463416408757,0.0,0.0,0.0,0.0
2009-03,34804.2255128563,3274988.4754692134,6480.339451065549,14532.809218874994,13791.076842915758,0.0,0.0,0.0,0.0
2009-04,40117.346208282404,3274988.4754692134,7222.61771523826,15696.053026543454,17198.675466500692,0.0,0.0,0.0,0.0
2009-05,45511.79409254428,3274988.4754692134,8140.502773608931,16593.97513861681,20777.31618031854,0.0,0.0,0.0,0.0
2009-06,47778.5428418197,3274988.4754692134,8499.354444813314,16364.765740381765,22914.422656624614,0.0,0.0,0.0,0.0
2009-07,51498.871144322824,3274988.4754692134,9116.234847287998,16619.181871283567,25763.454425751264,0.0,0.0,0.0,0.0
2009-08,54474.08982759823,3274988.4754692134,9601.107677943864,16631.540559077854,28241.441590576513,0.0,0.0,0.0,0.0
2009-09,60008.577998969355,3274988.4754692134,10535.557452369754,17388.601599686728,32084.41894691287,0.0,0.0,0.0,0.0
2009-10,61151.76724532454,3274988.4754692134,10699.596565821435,16890.289464065067,33561.881215438036,0.0,0.0,0.0,0.0
2009-11,64920.21067558175,3274988.4754692134,11322.831855754557,17111.312282957973,36405.94204568886,80.12449118036072,0.0,0.0,0.0
2009-12,70891.96868047242,3274988.4754692134,12329.110052192676,17882.95295723929,38031.73656126385,2648.169109776599,0.0,0.0,0.0
2010-01,72009.97295796516,3393151.135989463,12490.613916199227,19896.839449209267,37043.1839056693,2579.3356868873725,0.0,0.0,0.0
2010-02,76745.57413961331,3393151.135989463,13278.877210180906,22949.053326942023,37880.03738342197,2637.606219068407,0.0,0.0,0.0
2010-03,83146.32340603582,3393151.135989463,14765.360857501822,26409.537279529257,39239.181178040686,2732.2440909640527,0.0,0.0,0.0
2010-04,88472.05457314855,3393151.135989463,15493.33639687769,27431.920167445576,42772.82102497805,2773.97698384723,0.0,0.0,0.0
2010-05,93395.85748114892,3393151.135989463,16317.379067100157,27997.14081001741,46250.246627632565,2831.090976398795,0.0,0.0,0.0
2010-06,95563.82143986587,3393151.135989463,16660.205892369864,27743.56577097798,48354.564791382196,2805.484985135825,0.0,0.0,0.0
2010-07,97860.64314438523,3393151.135989463,17025.76253993399,27534.032146413316,50516.52006281801,2784.3283952199185,0.0,0.0,0.0
2010-08,99669.40123455708,3393151.135989463,17306.80621854792,27197.355398391835,52414.91258010265,2750.3270375146703,0.0,0.0,0.0
2010-09,104167.02591381887,3393151.135989463,18054.35768038154,27583.86586843746,55739.415581065055,2789.386783934816,0.0,0.0,0.0
2010-10,109379.17903730368,3393151.135989463,18925.122367522985,28143.594085354736,59464.516423304405,2845.9461611215543,0.0,0.0,0.0
2010-11,117985.97549612756,3393151.135989463,20381.793590606656,29539.68729110303,64978.52114428646,3085.9734701314137,0.0,0.0,0.0
2010-12,123115.65316876982,3393151.135989463,21237.19059349678,30050.640619487123,66100.21290744022,5727.609048345688,0.0,0.0,0.0
2011-01,124773.9379864138,3581043.7932169903,21492.482406261417,32334.81437469227,65289.29822813494,5657.342977325175,0.0,0.0,0.0
2011-02,130947.99943853369,3581043.7932169903,22524.917220667612,35832.36034558809,66802.27856297739,5788.443309300615,0.0,0.0,0.0
