month,portfolio_value,target,ppk,ikze,ike,oki,standard,dividend_tax,rebalancing_tax
2002-01,2585.8860000083323,3120000.0,0.0,0.0,0.0,0.0,2585.8860000083323,0.24700000000000003,0.0
2002-02,5219.735848640928,3120000.0,0.0,0.0,0.0,0.0,5219.735848640928,0.48713232721971594,0.0
2002-03,7947.308878514291,3120000.0,0.0,0.0,0.0,0.0,7947.308878514291,0.7351071119260343,0.0
2002-04,10319.546738649178,3120000.0,0.0,0.0,0.0,0.0,10319.546738649178,1.0017585203014272,0.0
2002-05,13057.657121962373,3120000.0,0.0,0.0,0.0,0.0,13057.657121962373,1.1809669004092955,0.0
2002-06,15379.258311912457,3120000.0,0.0,0.0,0.0,0.0,15379.258311912457,1.444282221768021,0.0
2002-07,17697.309301929625,3120000.0,0.0,0.0,0.0,0.0,17697.309301929625,1.6061594435075879,0.0
2002-08,20368.79791402327,3120000.0,0.0,0.0,0.0,0.0,20368.79791402327,1.763939134050236,0.0
2002-09,22161.676216447653,3120000.0,0.0,0.0,0.0,0.0,22161.676216447653,2.003543349043593,0.0
2002-10,25248.719774230034,3120000.0,0.0,0.0,0.0,0.0,25248.719774230034,2.032649414874097,0.0
2002-11,28451.268311005184,3120000.0,0.0,0.0,0.0,0.0,28451.268311005184,2.3675866873626763,0.0
2002-12,30175.02282221672,3120000.0,0.0,0.0,0.0,0.0,30175.02282221672,2.7279045270866757,0.0
2003-01,32536.289564164545,3224624.12259551,0.0,0.0,0.0,0.0,32536.289564164545,3.121909911149401,0.0
2003-02,35459.72045405033,3224624.12259551,0.0,0.0,0.0,0.0,35459.72045405033,3.267842516181735,0.0
2003-03,38757.11462120237,3224624.12259551,0.0,0.0,0.0,0.0,38757.11462120237,3.545445632121534,0.0
2003-04,42131.482225245876,3224624.12259551,0.0,0.0,0.0,0.0,42131.482225245876,3.9101725281644404,0.0
2003-05,45378.86339877847,3224624.12259551,0.0,0.0,0.0,0.0,45378.86339877847,4.291641631324385,0.0
2003-06,49597.123216895794,3224624.12259551,0.0,0.0,0.0,0.0,49597.123216895794,4.641568430721938,0.0
2003-07,52799.2192493976,3224624.12259551,0.0,0.0,0.0,0.0,52799.2192493976,5.220854184652158,0.0
2003-08,56976.49738674622,3224624.12259551,0.0,0.0,0.0,0.0,56976.49738674622,5.556329225885096,0.0
2003-09,59921.98572839514,3224624.12259551,0.0,0.0,0.0,0.0,59921.98572839514,6.120923743936229,0.0
2003-10,64751.377771959545,3224624.12259551,0.0,0.0,0.0,0.0,64751.377771959545,6.39046736837229,0.0
2003-11,67436.93445039922,3224624.12259551,0.0,0.0,0.0,0.0,67436.93445039922,7.104922675744469,0.0
2003-12,70625.5726443927,3224624.12259551,0.0,0.0,0.0,0.0,70625.5726443927,7.307686922921657,50.067988270614265
2004-01,75029.9443791117,3357013.3419064465,0.0,0.0,0.0,0.0,75029.9443791117,6.979949416337275,0.0
2004-02,79375.47441561017,3357013.3419064465,0.0,0.0,0.0,0.0,79375.47441561017,7.566165585190267,0.0
2004-03,81823.67429532259,3357013.3419064465,0.0,0.0,0.0,0.0,81823.67429532259,8.135717010440446,0.0
2004-04,85361.71273299475,3357013.3419064465,0.0,0.0,0.0,0.0,85361.71273299475,8.251946948309696,0.0
2004-05,86743.7154891716,3357013.3419064465,0.0,0.0,0.0,0.0,86743.7154891716,8.624292141636413,0.0
2004-06,90013.71694043915,3357013.3419064465,0.0,0.0,0.0,0.0,90013.71694043915,8.481841539052956,0.0
2004-07,90862.72653975242,3357013.3419064465,0.0,0.0,0.0,0.0,90862.72653975242,8.785037292376503,0.0
2004-08,94786.14027912993,3357013.3419064465,0.0,0.0,0.0,0.0,94786.14027912993,8.502731751298107,0.0
2004-09,97468.3724859941,3357013.3419064465,0.0,0.0,0.0,0.0,97468.3724859941,8.942159119446261,0.0
2004-10,99844.51212424316,3357013.3419064465,0.0,0.0,0.0,0.0,99844.51212424316,9.0834470835603,0.0
2004-11,102586.76921671462,3357013.3419064465,0.0,0.0,0.0,0.0,102586.76921671462,9.148656360601938,0.0
2004-12,104879.95111208333,3357013.3419064465,0.0,0.0,0.0,0.0,104879.95111208333,9.29741376273714,49.629269401680745
2005-01,109137.67548664533,3492481.380271125,0.0,0.0,0.0,0.0,109137.67548664533,10.233011294029641,0.0
2005-02,111526.20969187502,3492481.380271125,0.0,0.0,0.0,0.0,111526.20969187502,10.72466143417984,0.0
2005-03,116914.93635629759,3492481.380271125,0.0,0.0,0.0,0.0,116914.93635629759,10.76883473812142,0.0
2005-04,121413.88444763947,3492481.380271125,0.0,0.0,0.0,0.0,121413.88444763947,11.528343621506167,0.0
2005-05,126171.00514249741,3492481.380271125,0.0,0.0,0.0,0.0,126171.00514249741,12.079770098176112,0.0
2005-06,130369.42130124065,3492481.380271125,0.0,0.0,0.0,0.0,130369.42130124065,12.689386899565111,0.0
2005-07,136139.41725375206,3492481.380271125,0.0,0.0,0.0,0.0,136139.41725375206,13.170188015244038,0.0
2005-08,138968.43764725846,3492481.380271125,0.0,0.0,0.0,0.0,138968.43764725846,14.024943063061055,0.0
2005-09,143051.27534270872,3492481.380271125,0.0,0.0,0.0,0.0,143051.27534270872,14.178402099895946,0.0
2005-10,145638.43318820762,3492481.380271125,0.0,0.0,0.0,0.0,145638.43318820762,14.630647075741756,0.0
2005-11,151459.1899040063,3492481.380271125,0.0,0.0,0.0,0.0,151459.1899040063,14.724945534138092,0.0
2005-12,155210.41781504656,3492481.380271125,0.0,0.0,0.0,0.0,155210.41781504656,15.584486845902608,110.38877688962918
2006-01,159874.18630383798,3673421.2077372344,0.0,0.0,0.0,0.0,159874.18630383798,15.046289138513139,0.0
2006-02,163617.85667920334,3673421.2077372344,0.0,0.0,0.0,0.0,163617.85667920334,15.59909987360939,0.0
2006-03,170136.62529333436,3673421.2077372344,0.0,0.0,0.0,0.0,170136.62529333436,15.93501500511464,0.0
2006-04,172331.29356842084,3673421.2077372344,0.0,0.0,0.0,0.0,172331.29356842084,16.931880092017444,0.0
2006-05,172748.9712698093,3673421.2077372344,0.0,0.0,0.0,0.0,172748.9712698093,16.89908766109939,0.0
2006-06,178883.55340955433,3673421.2077372344,0.0,0.0,0.0,0.0,178883.55340955433,16.441563218646657,0.0
