month,portfolio_value,target,ppk,ikze,ike,oki,standard,dividend_tax,rebalancing_tax
2008-04,9975.577288908002,2850000.0,0.0,0.0,0.0,0.0,9975.577288908002,1.35375,0.0
2008-05,19381.241351926285,2850000.0,0.0,0.0,0.0,0.0,19381.241351926285,2.8148182935968404,0.0
2008-06,27096.936634258884,2850000.0,0.0,0.0,0.0,0.0,27096.936634258884,4.134865745929735,0.0
2008-07,35347.25848423549,2850000.0,0.0,0.0,0.0,0.0,35347.25848423549,5.047314316781626,0.0
2008-08,47216.09780227505,2850000.0,0.0,0.0,0.0,0.0,47216.09780227505,6.080817202783202,0.0
2008-09,54059.26564093449,2850000.0,0.0,0.0,0.0,0.0,54059.26564093449,7.967760406577042,0.0
2008-10,62981.066491910795,2850000.0,0.0,0.0,0.0,0.0,62981.066491910795,8.655110721890708,0.0
2008-11,69988.42846638829,2850000.0,0.0,0.0,0.0,0.0,69988.42846638829,9.830101887623062,0.0
2008-12,82776.33372254594,2850000.0,0.0,0.0,0.0,0.0,82776.33372254594,10.545775603937315,0.0
2009-01,94809.66123256803,2991576.011245916,0.0,0.0,0.0,0.0,94809.66123256803,13.216626160804609,0.0
2009-02,102445.62668783896,2991576.011245916,0.0,0.0,0.0,0.0,102445.62668783896,15.082582354142115,0.0
2009-03,116099.47534836302,2991576.011245916,0.0,0.0,0.0,0.0,116099.47534836302,15.901074937749698,0.0
2009-04,129811.70394119751,2991576.011245916,0.0,0.0,0.0,0.0,129811.70394119751,18.1461062358434,0.0
2009-05,145984.28848866816,2991576.011245916,0.0,0.0,0.0,0.0,145984.28848866816,20.400343399566726,0.0
2009-06,154448.5784388648,2991576.011245916,0.0,0.0,0.0,0.0,154448.5784388648,23.234233975721345,0.0
2009-07,166515.588251253,2991576.011245916,0.0,0.0,0.0,0.0,166515.588251253,24.23543699715592,0.0
2009-08,176750.3200513872,2991576.011245916,0.0,0.0,0.0,0.0,176750.3200513872,26.087773747229267,0.0
2009-09,193341.35267551735,2991576.011245916,0.0,0.0,0.0,0.0,193341.35267551735,27.500412053387972,0.0
2009-10,199048.85296955297,2991576.011245916,0.0,0.0,0.0,0.0,199048.85296955297,30.41811912164165,0.0
2009-11,211286.2918878937,2991576.011245916,0.0,0.0,0.0,0.0,211286.2918878937,30.746414219663464,0.0
2009-12,228876.3127872004,2991576.011245916,0.0,0.0,0.0,0.0,228876.3127872004,32.62097624985712,138.57286617646494
2010-01,234774.8954677548,3099513.0569134518,0.0,0.0,0.0,0.0,234774.8954677548,34.10688990764009,0.0
2010-02,249477.058698188,3099513.0569134518,0.0,0.0,0.0,0.0,249477.058698188,34.424760832805575,0.0
2010-03,267041.6511735051,3099513.0569134518,0.0,0.0,0.0,0.0,267041.6511735051,36.828639098765215,0.0
2010-04,280832.73637731856,3099513.0569134518,0.0,0.0,0.0,0.0,280832.73637731856,39.90747961396691,0.0
2010-05,295969.4491859195,3099513.0569134518,0.0,0.0,0.0,0.0,295969.4491859195,42.08522570231089,0.0
2010-06,304489.2160281226,3099513.0569134518,0.0,0.0,0.0,0.0,304489.2160281226,44.57765004618368,0.0
2010-07,313328.5993128354,3099513.0569134518,0.0,0.0,0.0,0.0,313328.5993128354,45.49361947398627,0.0
2010-08,320998.82875340956,3099513.0569134518,0.0,0.0,0.0,0.0,320998.82875340956,46.48054551124485,0.0
2010-09,335180.06174563617,3099513.0569134518,0.0,0.0,0.0,0.0,335180.06174563617,47.18482306970541,0.0
2010-10,351107.16280576965,3099513.0569134518,0.0,0.0,0.0,0.0,351107.16280576965,49.43046728666667,0.0
2010-11,375281.24153289397,3099513.0569134518,0.0,0.0,0.0,0.0,375281.24153289397,52.08573614106813,0.0
2010-12,390778.7953750988,3099513.0569134518,0.0,0.0,0.0,0.0,390778.7953750988,56.69462071910708,260.6766497970246
2011-01,398395.10525423917,3271145.772650135,0.0,0.0,0.0,0.0,398395.10525423917,57.276919005556465,0.0
2011-02,416812.6837452206,3271145.772650135,0.0,0.0,0.0,0.0,416812.6837452206,57.87190288579412,0.0
2011-03,421501.24937414355,3271145.772650135,0.0,0.0,0.0,0.0,421501.24937414355,61.02651939156346,0.0
2011-04,429030.2694023374,3271145.772650135,0.0,0.0,0.0,0.0,429030.2694023374,60.91480020103698,0.0
2011-05,444980.23258338566,3271145.772650135,0.0,0.0,0.0,0.0,444980.23258338566,61.46370653503584,0.0
2011-06,452483.88174710376,3271145.772650135,0.0,0.0,0.0,0.0,452483.88174710376,63.99806752393649,0.0
2011-07,463759.18857445376,3271145.772650135,0.0,0.0,0.0,0.0,463759.18857445376,64.51136304266448,0.0
2011-08,460504.7195194515,3271145.772650135,0.0,0.0,0.0,0.0,460504.7195194515,65.91375110748146,0.0
2011-09,476886.7931479267,3271145.772650135,0.0,0.0,0.0,0.0,476886.7931479267,63.85860612336109,0.0
2011-10,505652.2758403679,3271145.772650135,0.0,0.0,0.0,0.0,505652.2758403679,66.46039343700076,0.0
2011-11,545217.2447292933,3271145.772650135,0.0,0.0,0.0,0.0,545217.2447292933,71.99645831527488,0.0
2011-12,553201.8997327121,3271145.772650135,0.0,0.0,0.0,0.0,553201.8997327121,80.09058339188249,37.49793217439702
2012-01,561587.6375856518,3378676.768572225,0.0,0.0,0.0,0.0,561587.6375856518,80.44148563231812,0.0
