month,portfolio_value,target,ppk,ikze,ike,oki,standard,dividend_tax,rebalancing_tax
2008-04,9837.71301723274,2850000.0,0.0,5887.367964126808,3950.3450531059316,0.0,0.0,0.0,0.0
2008-05,19316.3296189849,2850000.0,0.0,5879.974906990894,9600.707942146413,3835.6467698475903,0.0,0.0,0.0
2008-06,27690.76037581046,2850000.0,0.0,5643.841643116848,9225.962468754122,12820.956263939492,0.0,0.0,0.0
2008-07,36442.95150106036,2850000.0,0.0,5529.17952867959,9044.770112242857,21869.001860137912,0.0,0.0,0.0
2008-08,47630.13763947944,2850000.0,0.0,5730.234575150155,9366.628751832419,32533.27431249687,0.0,0.0,0.0
2008-09,55487.35779923845,2850000.0,0.0,5568.6358319990995,9110.670291797791,40808.051675441566,0.0,0.0,0.0
2008-10,64752.70056677229,2850000.0,0.0,5550.092501757346,9082.655969710724,50119.95209530422,0.0,0.0,0.0
2008-11,72757.69388677205,2850000.0,0.0,5444.055211989107,8915.19827787714,58398.440396905804,0.0,0.0,0.0
2008-12,84623.91406613914,2850000.0,0.0,5593.8827165765215,9155.28559765721,69874.74575190542,0.0,0.0,0.0
2009-01,96166.17246352442,2991576.011245916,0.0,11753.494531237808,13377.976304076987,71034.70162820963,0.0,0.0,0.0
2009-02,104733.00358770933,2991576.011245916,0.0,11597.562989929658,19065.37017680261,74070.07042097706,0.0,0.0,0.0
2009-03,117391.46555053887,2991576.011245916,0.0,11869.31589145224,19510.233107885477,86011.91655120115,0.0,0.0,0.0
2009-04,131207.74242269495,2991576.011245916,0.0,12125.145308610186,19929.058616677336,99153.53849740743,0.0,0.0,0.0
2009-05,145635.62617117335,2991576.011245916,0.0,12509.368560991632,20557.848168854813,112568.40944132692,0.0,0.0,0.0
2009-06,154817.4664174958,2991576.011245916,0.0,12444.769071867886,20452.662056874517,121920.0352887534,0.0,0.0,0.0
2009-07,166467.95737502573,2991576.011245916,0.0,12572.419204107031,20661.86290150111,133233.67526941758,0.0,0.0,0.0
2009-08,176888.77586456112,2991576.011245916,0.0,12604.025326877003,20714.005450187433,143570.74508749667,0.0,0.0,0.0
2009-09,191643.80822712538,2991576.011245916,0.0,12931.600871583434,21250.147491180294,157462.05986436165,0.0,0.0,0.0
