month,portfolio_value,target,ppk,ikze,ike,oki,standard,dividend_tax,rebalancing_tax
1998-02,3455.5466918284365,3120000.0,1001.5317422446606,2454.014949583776,0.0,0.0,0.0,0.0,0.0
1998-03,6424.816112702678,3120000.0,1497.1713243935687,3175.0244898452506,1752.620298463859,0.0,0.0,0.0,0.0
1998-04,9256.722077759874,3120000.0,1959.8996435428562,3187.3054248192348,4109.517009397782,0.0,0.0,0.0,0.0
1998-05,12186.67189875931,3120000.0,2441.9008683042366,3222.795714955842,6521.975315499232,0.0,0.0,0.0,0.0
1998-06,15234.068619993846,3120000.0,2945.6997652182345,3277.064203688703,7701.320027313149,1309.9846237737593,0.0,0.0,0.0
1998-07,17998.017300910586,3120000.0,3394.7407579230185,3270.9263787325062,7688.8190071165745,3643.5311571384864,0.0,0.0,0.0
1998-08,20143.12549852411,3120000.0,3729.184213084407,3167.6671821125033,7451.290877052711,5794.9832262744885,0.0,0.0,0.0
1998-09,22767.712036357218,3120000.0,4153.045743714336,3144.0547798081543,7398.2744700085,8072.337042826226,0.0,0.0,0.0
1998-10,26460.425102159348,3120000.0,4769.860117646433,3254.1204657193684,7654.970108410734,10781.474410382812,0.0,0.0,0.0
1998-11,30679.625003678404,3120000.0,5479.139384593143,3411.5575149288147,8021.461157342685,13767.466946813762,0.0,0.0,0.0
1998-12,34677.76557490212,3120000.0,6147.36430283116,3533.4590135521476,8305.507393638063,16691.43486488075,0.0,0.0,0.0
1999-01,40720.022448467746,4296145.027390298,7572.562773883659,7052.353039229886,8670.384515683978,17424.722119670223,0.0,0.0,0.0
1999-02,46122.01177147895,4296145.027390298,8484.886176174876,8202.592652833437,11401.800707373603,18032.732235097035,0.0,0.0,0.0
1999-03,52152.62220765765,4296145.027390298,9509.390130983753,8561.288612119508,15259.389928988974,18822.553535565417,0.0,0.0,0.0
1999-04,57611.292030315744,4296145.027390298,10361.382050559576,8752.138712515945,19255.200981620306,19242.57028561992,0.0,0.0,0.0
1999-05,60508.28541644694,4296145.027390298,10817.397078589122,8614.562844993696,20036.69334423475,21039.632148629367,0.0,0.0,0.0
1999-06,66189.95098537207,4296145.027390298,11770.130213141209,8861.484542853908,20604.69056664746,24953.645662729487,0.0,0.0,0.0
1999-07,69391.10849788939,4296145.027390298,12281.672705417903,8777.187014570463,20416.69113170336,27915.557646197663,0.0,0.0,0.0
1999-08,74917.96556867505,4296145.027390298,13204.193087178443,8979.72372332446,20883.47721928987,31850.571538882265,0.0,0.0,0.0
1999-09,80217.86972535562,4296145.027390298,14085.672358307944,9146.019702678488,21267.873848111023,35718.303816258165,0.0,0.0,0.0
1999-10,88272.28453674138,4296145.027390298,15449.101701569749,9609.47849861621,22330.64026134789,40883.06407520753,0.0,0.0,0.0
1999-11,95649.13008902033,4296145.027390298,16691.936352577883,9981.844952849207,23186.250737901435,45789.0980456918,0.0,0.0,0.0
1999-12,103013.65490389259,4296145.027390298,17931.039506915793,10338.931779989445,24007.063956179343,50736.619660808006,0.0,0.0,0.0
2000-01,105820.33089623845,4842545.885807872,18760.640933919854,13710.236350576957,23559.24860529194,49790.20500644969,0.0,0.0,0.0
2000-02,110206.96929651056,4842545.885807872,19475.440643341735,14701.80945832286,26216.931714961465,49812.78747988449,0.0,0.0,0.0
2000-03,119455.48088936973,4842545.885807872,21046.714261401554,15331.815376858123,31131.730030438943,51945.22122067111,0.0,0.0,0.0
2000-04,126491.67126900867,4842545.885807872,22139.102264531157,15603.969469758016,35881.521307345596,52867.0782273739,0.0,0.0,0.0
2000-05,129043.08437655018,4842545.885807872,22533.47366498373,15391.467631883177,36512.33810933122,54605.80497035205,0.0,0.0,0.0
2000-06,136824.05126692698,4842545.885807872,23839.46728185043,15788.364898445443,37456.115340936834,59740.10374569429,0.0,0.0,0.0
2000-07,138626.46535565643,4842545.885807872,24105.02570239837,15506.286367641496,36780.02737265779,62235.125912958785,0.0,0.0,0.0
2000-08,147308.15990319962,4842545.885807872,25564.90180739337,15976.42433000423,37898.215409296776,67868.61835650523,0.0,0.0,0.0
2000-09,150832.02863835444,4842545.885807872,26130.303050763247,15892.434817202713,37694.3780277933,71114.91274259519,0.0,0.0,0.0
2000-10,157243.02926409146,4842545.885807872,27195.048954754457,16105.020753935496,38198.01926403272,75744.9402913688,0.0,0.0,0.0
2000-11,153022.14502127306,4842545.885807872,26424.456974988978,15260.818911804028,36180.446711396784,75156.42242308325,0.0,0.0,0.0
2000-12,153504.31305784028,4842545.885807872,26466.71285145446,14893.976813115733,35301.644450556734,76841.97894271335,0.0,0.0,0.0
2001-01,160737.78887624788,5190015.248206924,28071.04520916027,19035.6686456913,35769.87872839322,77861.1962930031,0.0,0.0,0.0
2001-02,157809.5838272126,5190015.248206924,27507.110896334496,19170.999501253533,36837.42169851545,74294.05173110912,0.0,0.0,0.0
2001-03,157715.77304972737,5190015.248206924,27438.89616439754,18612.370496722186,39535.000005896116,72129.50638271152,0.0,0.0,0.0
2001-04,167621.29796720907,5190015.248206924,29009.33882192179,19148.49594728933,45256.389937919674,74207.07326007826,0.0,0.0,0.0
2001-05,173048.8022148497,5190015.248206924,29900.842643815653,19236.091773821783,46657.77669297648,77254.09110423579,0.0,0.0,0.0
2001-06,175182.0615709831,5190015.248206924,30224.207051578298,18967.81779544214,45988.8684988099,80001.16822515274,0.0,0.0,0.0
2001-07,185479.81774140915,5190015.248206924,31953.717451387274,19560.06588373284,47436.69708308554,86529.3373232035,0.0,0.0,0.0
2001-08,186201.03213876346,5190015.248206924,32035.756578041117,19163.847613346436,46453.296724706874,88548.13122266905,0.0,0.0,0.0
2001-09,182533.52643772252,5190015.248206924,31365.513125928428,18344.953585388786,44430.015265943395,88393.04446046191,0.0,0.0,0.0
2001-10,187053.52767883538,5190015.248206924,32100.693438341317,18336.777844450815,44401.72605159448,92214.33034444875,0.0,0.0,0.0
2001-11,198458.28842090897,5190015.248206924,34014.24986270489,18972.086200420214,45957.07356394309,99514.87879384076,0.0,0.0,0.0
2001-12,202431.85744203092,5190015.248206924,34656.17816939839,18915.98494312103,45811.49504038431,103048.1992891272,0.0,0.0,0.0
2002-01,210469.3352779783,5369640.093909592,36394.29136497403,23246.64451994042,46417.36302003545,104411.0363730284,0.0,0.0,0.0
2002-02,216383.6353515766,5369640.093909592,37368.01640449031,24463.9402350577,49605.22639428456,104946.45231774406,0.0,0.0,0.0
2002-03,225611.78654583788,5369640.093909592,38913.071631205064,24952.535199030764,54703.61027587861,107042.56943972346,0.0,0.0,0.0
2002-04,222444.5947471629,5369640.093909592,38223.26396859471,24026.63344113308,57124.64659167372,103070.05074576137,0.0,0.0,0.0
2002-05,229946.9492798141,5369640.093909592,39468.40364681362,24311.217137475705,59031.905115647045,107135.42337987773,0.0,0.0,0.0
2002-06,227484.50091178645,5369640.093909592,39004.53185173386,23558.95889925512,57205.18154547417,107715.82861532329,0.0,0.0,0.0
2002-07,225799.0674920886,5369640.093909592,38675.12755200606,22901.946526302258,55609.74228334721,108612.25113043305,0.0,0.0,0.0
