,acwi_monthly_return,usd_pln,edo_reference_monthly_return,cpi_prev_year_100,avg_gross_wage_pln
1966-11,,,,101.2,0.1934
1966-12,,,,101.2,0.1934
1967-01,,,,101.5,0.2016
1967-02,,,,101.5,0.2016
1967-03,,,,101.5,0.2016
1967-04,,,,101.5,0.2016
1967-05,,,,101.5,0.2016
1967-06,,,,101.5,0.2016
1967-07,,,,101.5,0.2016
1967-08,,,,101.5,0.2016
1967-09,,,,101.5,0.2016
1967-10,,,,101.5,0.2016
1967-11,,,,101.5,0.2016
1967-12,,,,101.5,0.2016
1968-01,,,,101.6,0.2106
1968-02,,,,101.6,0.2106
1968-03,,,,101.6,0.2106
1968-04,,,,101.6,0.2106
1968-05,,,,101.6,0.2106
1968-06,,,,101.6,0.2106
1968-07,,,,101.6,0.2106
1968-08,,,,101.6,0.2106
1968-09,,,,101.6,0.2106
1968-10,,,,101.6,0.2106
